"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"stmNorthernForests.nlogo"
"baseline"
"09/12/2024 07:44:54:253 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","255","0","255"
"[run number]","enso-freq-wgt","farm-revegetate?","seed-pred","enso-matrix-file","track-stalled?","mean-farm-depth","base-seed-prod-yf","invasion?","crit-density-old","rust-global-inf","max-ticks","fire-invasion","burn-in-regen","flamm-start","base-seed-prod-of","fraction-seed-ldd","farm-edge?","sap-herbivory","phy-radius-inf","phy-local-inf","crit-density-yng","fire-slow","write-record?","mean-ldd","max-forest","extrinsic-sd","fire-frequency","init-composition-file","farm-edge-nodes","perc-seed","phy-global-inf","base-invasion","[step]","abundances"
"1","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","24","[0 0 2348 39463 4045 10975 3984 4111 302 121 187]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","6","[0 0 10163 15510 8932 13564 7238 8670 391 666 402]"
"1","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","25","[0 0 2289 39502 4045 10985 3984 4111 312 121 187]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","7","[0 0 10163 15510 8932 13564 7238 8670 391 666 402]"
"1","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","26","[0 0 2135 39618 4045 11014 3984 4111 321 121 187]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","8","[0 0 10163 15510 8932 13564 7238 8670 391 666 402]"
"1","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","27","[0 0 1342 40284 4045 11081 3984 4111 381 121 187]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","9","[0 0 10163 15510 8932 13564 7238 8670 391 666 402]"
"1","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","28","[0 0 1219 40351 4045 11096 3984 4111 422 121 187]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","10","[0 0 10163 15510 8932 13564 7238 8670 391 666 402]"
"1","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","29","[0 0 127 41137 4045 11389 3984 4111 435 121 187]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","11","[0 0 10163 15510 8932 13564 7238 8670 391 666 402]"
"1","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","30","[0 0 0 41236 4045 11411 3984 4111 441 121 187]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","12","[0 0 10163 15510 8932 13564 7238 8670 391 666 402]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","13","[0 0 10163 15510 8932 13564 7238 8670 391 666 402]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","14","[0 0 10163 15510 8932 13564 7238 8670 391 666 402]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","15","[0 0 10163 15510 8932 13564 7238 8670 391 666 402]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","16","[0 0 10058 15577 8932 13591 7238 8670 402 666 402]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","17","[0 0 9808 15645 8932 13640 7238 8670 535 666 402]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","18","[0 0 9733 15671 8932 13682 7238 8670 542 666 402]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","19","[0 0 9681 15702 8932 13703 7238 8670 542 666 402]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","20","[0 0 9645 15727 8932 13713 7238 8670 543 666 402]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","21","[0 0 9552 15767 8932 13753 7238 8670 556 666 402]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","22","[0 0 9393 15844 8932 13830 7238 8670 561 666 402]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","23","[0 0 9242 15957 8932 13868 7238 8670 561 666 402]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","24","[0 0 9113 16028 8932 13926 7238 8670 561 666 402]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","25","[0 0 8911 16139 8932 14017 7238 8670 561 666 402]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","26","[0 0 8870 16160 8932 14037 7238 8670 561 666 402]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","27","[0 0 1036 20396 8932 15490 7238 8670 2706 666 402]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","28","[0 0 789 20541 8932 15587 7238 8670 2711 666 402]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","29","[0 0 657 20623 8932 15632 7238 8670 2716 666 402]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","30","[0 0 0 21043 8932 15844 7238 8670 2741 666 402]"
