class last.change n5.d3 n5.d4 n10.d3 n10.d4 dist.d3 last.d3 last.d4 dist.d4  r3.sdl r3.sap r4.sdl r4.sap
 2 0 0 0 33 0 6.403 0 -1 -1 5 6 0 0
 2 0 3 0 10 1 2.236 0 10 0 9 1 0 0
 1 0 12 0 87 8 3 0 8 0 23 12 0 0
 2 23 0 0 2 40 9.055 0 6.708 0 0 0 0 0
 3 0 75 0 196 0 0 0 -1 -1 25 22 0 0
 2 0 20 0 40 5 2 0 5.099 0 7 7 0 0
 4 0 2 55 12 143 3 0 0 0 3 0 24 23
 1 0 9 9 16 63 2.236 0 1 0 5 6 0 0
 2 23 0 7 4 22 8.944 0 1 0 0 0 0 0
 2 0 13 0 47 0 1 0 -1 -1 12 16 5 2
 2 0 6 29 21 39 2.236 0 1 0 11 1 19 16
 2 23 0 0 0 9 -1 -1 7 0 0 0 0 0
 2 0 0 25 0 41 -1 -1 1 0 19 4 16 17
 2 0 2 1 44 20 4.123 0 5 0 8 10 0 0
 2 15 0 0 12 0 7.81 0 -1 -1 0 0 0 0
 2 0 0 15 51 64 5.099 0 2 0 15 5 11 13
 1 0 0 0 22 2 5.831 0 6 0 24 7 0 0
 2 18 13 3 48 3 2.828 0 3.162 0 12 8 0 0
 3 0 79 2 261 31 0 0 3.606 0 26 27 7 7
 1 0 19 32 74 93 2.236 0 1 0 7 12 0 0
 2 0 1 0 6 5 5 0 9 0 0 0 0 0
 2 0 0 3 16 4 8.544 0 4 0 13 9 13 2
 3 0 80 0 226 7 0 0 8.062 0 23 24 5 7
 2 0 0 0 5 8 8.944 0 6 0 6 11 5 5
 4 0 28 53 109 200 1 0 0 0 28 21 32 26
 3 0 59 14 204 38 0 0 1 0 26 22 19 20
 2 0 0 8 19 28 7.28 0 3.606 0 10 7 0 0
 2 0 13 0 81 12 2.236 0 7.616 0 13 18 0 0
 2 0 0 18 2 131 9.055 0 3 0 0 0 23 16
 3 0 33 3 109 19 0 0 4.123 0 22 21 5 1
 3 0 79 2 247 48 0 0 1 0 26 23 20 8
 3 0 50 10 165 29 0 0 2.236 0 23 23 15 8
 3 0 80 0 241 25 0 0 5.099 0 25 22 8 6
 4 0 0 35 2 59 7.071 0 0 0 0 0 23 22
 1 0 19 17 91 55 3 0 2.236 0 17 15 0 0
 2 23 0 0 41 13 5.657 0 7 0 23 7 0 0
 3 0 81 0 287 0 0 0 -1 -1 35 28 0 0
 2 0 0 0 0 12 -1 -1 7.81 0 0 0 14 15
 2 0 0 0 0 2 -1 -1 9.899 0 0 0 0 0
 3 0 51 4 134 64 0 0 4 0 25 25 13 16
 4 0 0 75 30 261 6 0 0 0 23 1 30 25
 3 0 57 0 137 71 0 0 6.083 0 14 23 5 9
 2 0 0 0 0 0 -1 -1 -1 -1 0 0 5 6
 4 0 14 20 35 27 3.162 0 0 0 15 5 21 22
 3 0 13 17 69 82 0 0 1 0 23 21 14 14
 2 0 19 0 29 0 1.414 0 -1 -1 18 17 0 0
 3 0 22 58 53 182 0 0 1 0 22 20 22 20
 3 0 62 0 148 12 0 0 8.062 0 20 23 0 0
 2 23 4 1 57 3 4.243 0 5 0 5 10 0 0
 4 0 0 81 16 153 7.211 0 0 0 0 0 23 24
 2 23 0 0 30 9 5.831 0 5.385 0 6 6 0 0
 3 0 42 9 119 43 0 0 2.236 0 22 22 17 9
 2 0 0 7 0 42 -1 -1 3 0 0 0 22 8
 4 0 3 77 3 234 1.414 0 0 0 7 1 27 25
 3 0 81 0 288 0 0 0 -1 -1 34 27 0 0
 2 23 0 0 12 0 7.211 0 -1 -1 5 6 0 0
 2 0 25 16 34 61 1.414 0 2.236 0 16 12 17 17
 3 0 57 7 147 93 0 0 3.162 0 28 23 13 8
 2 23 0 0 0 31 -1 -1 5.831 0 0 0 0 0
 2 0 0 2 23 31 8 0 4.472 0 0 0 0 0
 2 24 20 16 130 40 2.828 0 1 0 5 11 0 0
 2 0 0 2 0 4 -1 -1 4.472 0 0 0 0 0
 4 0 0 41 15 139 5.657 0 0 0 5 4 28 24
 2 23 0 0 2 40 9.055 0 5.385 0 0 0 0 0
 2 0 3 0 65 25 4.472 0 5.385 0 13 16 0 0
 2 0 23 4 157 6 2.236 0 3.606 0 21 16 0 0
 3 0 54 27 148 137 0 0 1 0 23 22 13 20
 3 0 47 25 94 100 0 0 1 0 20 22 19 12
 1 0 0 2 11 3 7.071 0 2.236 0 0 0 0 0
 2 0 1 0 54 2 5 0 5.099 0 5 6 0 0
 2 23 0 0 0 0 -1 -1 -1 -1 0 0 0 0
 2 23 0 1 2 63 6 0 5 0 0 0 0 0
 3 0 79 0 248 5 0 0 9.22 0 27 23 0 0
 3 0 43 38 126 165 0 0 1 0 20 23 25 19
 2 0 1 6 6 70 4.123 0 3.162 0 0 0 5 5
 1 0 32 1 132 27 2 0 5 0 19 18 0 0
 3 0 38 3 106 13 0 0 2.236 0 23 23 0 0
 3 0 53 11 115 99 0 0 3.162 0 21 23 5 10
 4 0 0 18 12 106 5.385 0 0 0 0 0 14 19
 3 0 53 2 178 5 0 0 4.123 0 31 25 7 5
 2 0 0 0 13 7 6.708 0 7.81 0 0 0 0 0
 4 0 6 37 24 98 3 0 0 0 13 3 18 22
 3 0 40 15 139 30 0 0 1 0 24 23 23 21
 2 23 1 0 24 16 5 0 7.81 0 11 9 21 2
 1 0 13 0 100 7 3.162 0 8.062 0 20 13 0 0
 2 15 3 20 7 129 4 0 2.828 0 16 4 8 3
 2 23 22 0 61 19 1 0 6 0 11 17 0 0
 3 0 65 0 135 11 0 0 5.385 0 23 21 0 0
 3 0 26 0 26 0 0 0 -1 -1 20 19 0 0
 2 0 7 6 13 68 3 0 2.236 0 14 7 10 9
 2 0 0 0 0 4 -1 -1 7.211 0 0 0 0 0
 4 0 0 23 0 93 -1 -1 0 0 0 0 26 20
 4 0 0 81 3 291 7.071 0 0 0 0 0 24 26
 2 15 23 0 117 2 2 0 8.602 0 27 19 0 0
 2 0 0 32 3 159 6.403 0 2 0 16 4 12 21
 3 0 22 1 48 2 0 0 5 0 23 22 0 0
 2 23 0 7 10 76 6.083 0 3.162 0 0 0 13 2
 1 0 24 21 106 79 1 0 1 0 30 22 0 0
 2 23 0 0 11 0 6.708 0 -1 -1 11 8 0 0
 2 0 0 0 2 7 9.849 0 7.071 0 0 0 4 0
 4 0 7 72 12 240 3.606 0 0 0 5 1 32 28
 4 0 16 59 165 86 3 0 0 0 23 21 19 24
 4 0 0 43 0 109 -1 -1 0 0 0 0 28 24
 4 0 0 60 32 136 6.325 0 0 0 5 4 18 22
 4 0 0 45 3 117 9.22 0 0 0 22 1 30 23
 2 23 0 7 5 35 9.22 0 3.162 0 0 0 21 2
 2 23 28 0 95 1 1 0 10 0 21 24 0 0
 3 0 27 21 128 79 0 0 1 0 28 24 23 20
 2 0 0 3 0 5 -1 -1 4 0 0 0 5 0
 3 0 54 0 186 15 0 0 6.708 0 27 23 0 0
 2 0 0 0 2 0 6.708 0 -1 -1 0 0 0 0
 2 0 9 1 37 1 3.162 0 5 0 5 5 0 0
 2 0 2 0 32 8 4.472 0 6.325 0 5 4 0 0
 2 23 3 0 29 7 2 0 9 0 15 15 0 0
 4 0 3 72 30 265 4.472 0 0 0 0 0 32 26
 2 0 0 0 0 6 -1 -1 8.246 0 14 2 5 6
 2 0 0 2 12 16 7.071 0 4 0 1 0 0 0
 2 0 0 0 12 11 6.708 0 7.616 0 5 5 5 5
 3 0 47 25 113 104 0 0 1.414 0 34 22 25 18
 3 0 62 1 131 13 0 0 5 0 14 23 0 0
 2 0 0 0 10 0 5.385 0 -1 -1 0 0 0 0
 3 0 57 24 150 132 0 0 1.414 0 23 23 34 23
 2 0 0 0 25 27 6.708 0 5.657 0 13 17 16 10
 4 0 5 70 50 128 3.606 0 0 0 28 2 24 24
 2 0 8 0 8 8 2.828 0 5.099 0 9 1 6 6
 2 0 0 3 0 86 -1 -1 4.472 0 0 0 25 8
 4 0 25 23 49 77 1 0 0 0 23 21 18 22
 3 0 24 0 54 6 0 0 5.385 0 24 18 0 0
 3 0 43 6 126 47 0 0 4.123 0 23 24 5 1
 2 23 13 1 24 18 1 0 5 0 16 18 0 0
 3 0 10 0 38 28 0 0 7.81 0 14 16 5 7
 2 0 0 0 2 11 8.246 0 6.403 0 5 1 5 0
 2 0 0 0 35 22 6.403 0 6 0 2 0 10 5
 3 0 20 0 49 0 0 0 -1 -1 18 20 0 0
 2 23 0 0 0 0 -1 -1 -1 -1 0 0 0 0
 2 0 0 0 16 0 6.403 0 -1 -1 4 0 0 0
 2 0 0 0 43 5 5.831 0 8.246 0 5 9 0 0
 3 0 81 0 302 5 0 0 8.062 0 30 24 0 0
 4 0 11 63 45 163 2.828 0 0 0 14 11 29 23
 2 0 0 0 36 12 6.325 0 7 0 16 7 0 0
 2 0 0 0 24 37 5.099 0 5.831 0 13 15 5 6
 3 0 48 2 135 18 0 0 4.472 0 24 22 6 4
 2 0 5 5 62 62 4 0 4.123 0 17 20 5 1
 2 0 0 0 27 13 7.071 0 7 0 20 8 0 0
 3 0 55 18 180 38 0 0 2 0 25 25 21 15
 3 0 63 2 139 32 0 0 4.472 0 31 22 5 11
 3 0 44 3 121 12 0 0 1 0 39 26 8 7
 4 0 0 51 11 141 7.616 0 0 0 7 7 26 26
 2 23 0 20 0 167 -1 -1 3.162 0 0 0 24 1
 2 0 4 1 21 1 3.606 0 3.162 0 5 0 0 0
 3 0 71 10 199 62 0 0 2.828 0 30 23 5 7
 2 18 8 1 58 30 3.162 0 5 0 5 15 16 7
 2 0 0 0 11 1 5.831 0 9.849 0 10 10 0 0
 3 0 66 7 219 7 0 0 2 0 32 28 12 3
 2 0 2 0 2 8 3.162 0 5.385 0 0 0 9 5
 1 0 3 2 24 2 4.123 0 1 0 5 0 0 0
 2 23 0 0 0 0 -1 -1 -1 -1 0 0 0 0
 2 23 33 5 67 78 1 0 4.123 0 14 16 0 0
 2 23 9 1 33 19 3.606 0 5 0 13 10 0 0
 2 0 0 0 0 17 -1 -1 5.385 0 5 6 7 6
 4 0 2 68 3 176 3.162 0 0 0 5 0 25 26
 2 0 0 9 3 31 9.434 0 3.606 0 0 0 5 5
 3 0 61 20 133 142 0 0 2.236 0 19 24 19 15
 2 23 0 6 0 31 -1 -1 3.162 0 0 0 0 0
 4 0 12 66 106 166 2.828 0 0 0 13 23 26 23
 2 23 19 0 70 2 1.414 0 9.434 0 20 15 0 0
 2 23 22 0 69 14 1 0 6.325 0 18 21 0 0
 4 0 14 37 54 118 1.414 0 0 0 14 18 14 20
 2 0 8 2 71 14 3 0 3.606 0 6 9 0 0
 1 0 0 2 10 7 7.28 0 2 0 0 0 0 0
 2 0 0 0 2 2 7.81 0 9.22 0 0 0 0 0
 1 0 24 0 119 30 3.162 0 6.325 0 19 11 0 0
 2 0 1 0 26 3 5 0 8.944 0 0 0 0 0
 2 0 6 0 18 12 2 0 8.544 0 19 9 5 5
 2 0 0 1 29 7 6 0 4.472 0 5 8 5 0
 2 0 0 8 4 46 5.657 0 3 0 0 0 12 10
 3 0 29 0 73 6 0 0 5.099 0 19 22 0 0
 2 0 0 8 1 33 10 0 4.243 0 0 0 0 0
 2 23 0 0 3 11 7.616 0 6.403 0 0 0 0 0
 4 0 32 39 114 49 1.414 0 0 0 13 21 14 21
 2 23 0 41 0 147 -1 -1 1.414 0 0 0 26 3
 2 0 2 0 8 11 3 0 5.657 0 5 0 5 0
 2 23 0 0 1 5 9.849 0 6.325 0 0 0 0 0
 2 23 0 4 0 15 -1 -1 3.162 0 0 0 0 0
 2 0 8 8 43 44 3.162 0 3 0 0 0 17 11
 1 0 15 0 104 28 4 0 6.083 0 26 10 0 0
 2 23 0 10 8 34 8.544 0 2.828 0 0 0 0 0
 4 0 18 20 66 75 2 0 0 0 21 18 19 22
 2 0 0 3 1 18 9.849 0 4 0 0 0 0 0
 2 23 44 5 108 13 1 0 3.162 0 18 22 0 0
 3 0 59 20 186 70 0 0 1.414 0 23 25 24 14
 4 0 13 25 18 73 2 0 0 0 10 9 27 19
 2 0 0 0 2 0 6.325 0 -1 -1 0 0 0 0
 2 23 3 0 59 4 4.243 0 7.211 0 5 6 0 0
 2 0 3 0 34 0 5 0 -1 -1 5 6 0 0
